file,min,p10,median,max
dog bark.wav,-0.5590487446051162,-0.5331738521730673,-0.09934663670631538,0.15131234540011773
gun shot.wav,-1.678292394313528,-1.6533186993592976,-1.5534239195423762,-1.4285554447712245
kids scream.wav,-0.07636960222541145,-0.030819651524304964,-7.320664679877353e-05,0.012908809514451391
police siren.wav,-1.395857974243143,-1.392237156308415,-0.8465701421206073,0.02580630323881694
